Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned,Resignation_Date
1,IT,Male,55,Specialist,2022-01-19 00:00:00,2,High School,5,6750,33,32,22,2,57,14,66,0,2.63,False,
2,Finance,Male,29,Developer,2024-04-18 00:00:00,0,High School,5,7500,34,34,13,14,40,12,61,2,1.72,False,
4,Customer Support,Female,48,Analyst,2015-10-26 00:00:00,7,Bachelor,2,4800,52,10,28,12,68,10,0,1,1.86,True,2022-04-23
5,Engineering,Female,36,Analyst,2016-10-22 00:00:00,3,Bachelor,2,4800,38,11,29,13,58,15,9,1,1.25,True,2024-10-16
6,IT,Male,43,Manager,2021-07-23 00:00:00,8,High School,3,7800,46,31,8,0,80,15,95,0,2.77,False,
7,IT,Male,37,Technician,2016-08-14 00:00:00,1,Bachelor,5,5250,55,20,29,2,44,16,27,0,4.46,True,2022-08-08
8,Engineering,Female,55,Engineer,2023-08-28 00:00:00,9,Bachelor,2,7200,42,46,7,8,71,7,64,0,2.09,False,
9,Marketing,Female,55,Technician,2014-10-27 00:00:00,1,High School,2,4200,51,23,21,14,37,1,0,1,1.44,True,2024-06-08
11,Customer Support,Male,52,Engineer,2023-06-29 00:00:00,4,Bachelor,3,7800,38,1,5,0,79,4,90,1,2.34,False,
12,Customer Support,Male,27,Technician,2016-12-23 00:00:00,9,Bachelor,5,5250,39,13,2,13,54,5,88,0,1.96,False,
12,Customer Support,Male,27,Technician,2019-11-26 00:00:00,9,Bachelor,5,5250,39,13,2,13,50,5,88,0,1.96,True,2022-03-12
13,HR,Male,51,Technician,2015-02-19 00:00:00,5,Bachelor,4,4900,31,11,16,1,36,7,17,2,2.13,True,2023-09-04
13,HR,Male,51,Technician,2019-07-04 00:00:00,5,Bachelor,4,4900,31,11,16,1,53,7,17,2,2.13,False,
14,Engineering,Male,27,Analyst,2014-10-14 00:00:00,9,Bachelor,4,5600,33,30,5,13,65,4,26,1,1.46,False,
15,Finance,Male,46,Analyst,2023-03-11 00:00:00,1,Master,1,4400,33,49,13,1,68,13,37,1,2.22,True,2019-07-26
16,Customer Support,Male,26,Developer,2023-04-19 00:00:00,1,High School,2,6000,33,41,9,13,76,3,46,1,2.42,False,
17,Operations,Male,29,Engineer,2019-09-21 00:00:00,4,Bachelor,2,7200,43,26,29,12,58,6,76,2,3.15,False,
18,Sales,Other,28,Developer,2022-11-08 00:00:00,1,High School,3,6500,47,36,6,12,60,12,54,0,1.19,False,
19,Customer Support,Other,56,Developer,2015-10-01 00:00:00,8,Bachelor,1,5500,57,9,24,1,48,1,36,0,1.12,True,2025-02-09
20,Finance,Male,23,Technician,2015-05-08 00:00:00,9,High School,2,4200,52,0,9,1,61,5,66,0,3.91,False,
20,Finance,Male,23,Technician,2022-12-19 00:00:00,9,High School,2,4200,52,0,9,1,52,5,66,0,3.91,True,2025-06-04
21,Operations,Female,33,Manager,2017-05-25 00:00:00,1,Bachelor,1,6600,33,28,13,13,48,15,53,2,3.7,False,
24,Sales,Male,58,Consultant,2016-07-23 00:00:00,6,Master,2,6600,55,2,28,8,40,6,78,2,4.26,True,2021-04-08
24,Sales,Male,58,Consultant,2018-01-21 00:00:00,6,Master,2,6600,55,2,28,8,74,6,78,2,4.26,False,
25,HR,Female,38,Analyst,2018-06-23 00:00:00,6,Bachelor,2,4800,50,21,24,11,40,7,49,1,4.43,True,2022-03-21
26,Customer Support,Male,38,Specialist,2022-05-03 00:00:00,2,Bachelor,5,6750,59,24,0,13,57,3,9,2,2.12,False,
27,Finance,Male,45,Engineer,2021-07-12 00:00:00,3,Bachelor,2,7200,59,24,23,6,53,7,26,1,3.16,True,2023-02-04
29,Engineering,Male,53,Specialist,2014-11-22 00:00:00,2,Bachelor,2,5400,31,34,14,6,40,6,42,1,4.52,False,
30,Finance,Male,52,Analyst,2022-04-17 00:00:00,1,High School,3,5200,45,25,29,9,64,2,37,2,4.95,True,2019-04-27
31,Customer Support,Male,58,Consultant,2023-06-21 00:00:00,6,Bachelor,1,6050,38,15,25,2,65,12,16,2,4.65,True,2023-08-01
31,Customer Support,Male,58,Consultant,2018-05-14 00:00:00,6,Bachelor,1,6050,38,15,25,2,68,12,16,2,4.65,False,
32,Legal,Female,24,Manager,2023-06-12 00:00:00,1,High School,4,8400,39,25,7,7,64,18,22,0,1.95,False,
33,Customer Support,Male,29,Analyst,2024-06-13 00:00:00,0,High School,2,4800,48,49,16,14,77,17,37,0,4.43,False,
37,Sales,Male,43,Consultant,2021-09-11 00:00:00,0,High School,2,6600,53,42,10,2,48,16,18,1,4.97,False,
38,Sales,Other,46,Consultant,2019-05-23 00:00:00,9,Master,2,6600,31,6,15,7,56,2,48,0,2.47,False,
39,IT,Male,48,Specialist,2019-10-12 00:00:00,2,Bachelor,1,4950,46,7,1,1,57,11,6,1,2.66,False,
39,IT,Male,48,Specialist,2024-04-04 00:00:00,2,Bachelor,1,4950,46,7,1,1,69,11,6,1,2.66,True,2023-02-09
40,HR,Female,58,Engineer,2015-01-13 00:00:00,1,Bachelor,5,9000,44,2,2,8,59,14,85,1,4.22,False,
41,HR,Female,44,Analyst,2022-02-03 00:00:00,3,Bachelor,2,4800,59,45,9,13,53,16,28,2,2.9,True,2024-10-20
41,HR,Female,44,Analyst,2023-04-11 00:00:00,3,Bachelor,2,4800,59,45,9,13,63,16,28,2,2.9,False,
42,Marketing,Male,29,Specialist,2020-12-25 00:00:00,2,High School,4,6300,33,10,6,2,44,8,28,2,4.84,False,
43,Customer Support,Male,60,Engineer,2021-10-31 00:00:00,8,Bachelor,3,7800,46,48,4,6,55,13,21,0,3.59,False,
45,Customer Support,Female,46,Developer,2016-08-11 00:00:00,3,Master,2,6000,58,7,29,3,32,12,4,1,2.53,True,2023-06-16
46,HR,Female,29,Specialist,2021-05-21 00:00:00,8,High School,2,5400,31,19,11,6,51,7,90,1,1.59,True,2019-02-19
48,Operations,Male,31,Specialist,2021-03-03 00:00:00,0,Bachelor,1,4950,45,31,20,2,31,15,82,2,4.84,True,2020-07-05
49,Legal,Male,40,Specialist,2016-06-12 00:00:00,8,High School,5,6750,59,49,0,2,75,17,13,1,2.9,False,
50,Operations,Other,57,Developer,2021-04-03 00:00:00,4,High School,2,6000,53,10,19,13,53,3,15,0,1.47,True,2024-05-10
51,Legal,Female,35,Consultant,2023-11-23 00:00:00,4,Bachelor,1,6050,55,26,29,4,59,2,28,1,3.02,True,2023-05-28
52,HR,Male,40,Developer,2016-06-02 00:00:00,7,Bachelor,2,6000,46,9,12,8,40,10,18,1,1.43,False,
53,Engineering,Male,28,Consultant,2020-01-24 00:00:00,9,Bachelor,3,7150,38,34,4,3,65,5,12,0,2.56,False,
54,Engineering,Female,37,Technician,2019-09-13 00:00:00,8,High School,2,4200,50,22,0,8,67,1,92,1,1.1,True,2022-08-21
55,Operations,Female,34,Technician,2017-03-21 00:00:00,9,High School,5,5250,32,26,6,6,50,3,68,1,1.87,False,
56,Marketing,Female,34,Developer,2015-06-03 00:00:00,2,Bachelor,3,6500,41,18,21,3,31,8,7,0,1.7,True,2024-11-21
57,Customer Support,Female,33,Specialist,2015-10-24 00:00:00,8,PhD,1,4950,33,46,28,8,50,1,36,2,2.64,True,2024-10-12
58,Finance,Male,23,Developer,2015-08-15 00:00:00,5,Bachelor,4,7000,32,42,8,12,49,3,27,2,3.97,False,
59,IT,Other,52,Technician,2021-11-25 00:00:00,0,High School,3,4550,53,7,5,2,41,12,74,2,4.23,True,2018-04-15
59,IT,Other,52,Technician,2016-04-17 00:00:00,0,High School,3,4550,53,7,5,2,61,12,74,2,4.23,False,
60,Customer Support,Female,54,Manager,2019-07-21 00:00:00,5,Bachelor,1,6600,51,17,19,8,62,5,99,1,3.02,True,2024-08-27
62,Engineering,Male,53,Specialist,2024-07-03 00:00:00,7,High School,5,6750,43,44,0,13,79,16,75,2,2.15,False,
